5:03:00; B; D
5:13:00; B; D
5:23:00; B; D
5:08:00; C; D
5:18:00; C; D
5:28:00; C; D
5:12:00; D; D
5:22:00; D; D
5:32:00; D; D
5:16:00; C; A
5:26:00; C; A
5:36:00; C; A
5:21:00; B; A
5:31:00; B; A
5:41:00; B; A
5:24:00; A; A
5:34:00; A; A
5:44:00; A; A
5:27:00; B; D
5:37:00; B; D
5:47:00; B; D
5:32:00; C; D
5:42:00; C; D
5:52:00; C; D
5:36:00; D; D
5:46:00; D; D
5:56:00; D; D
5:40:00; C; A
5:50:00; C; A
6:00:00; C; A
5:45:00; B; A
5:55:00; B; A
6:05:00; B; A
5:48:00; A; A
5:58:00; A; A
6:08:00; A; A
5:51:00; B; D
6:01:00; B; D
6:11:00; B; D
5:56:00; C; D
6:06:00; C; D
6:16:00; C; D
6:00:00; D; D
6:10:00; D; D
6:20:00; D; D
6:04:00; C; A
6:14:00; C; A
6:24:00; C; A
6:09:00; B; A
6:19:00; B; A
6:29:00; B; A
6:12:00; A; A
6:22:00; A; A
6:32:00; A; A
6:15:00; B; D
6:25:00; B; D
6:35:00; B; D
6:20:00; C; D
6:30:00; C; D
6:40:00; C; D
6:24:00; D; D
6:34:00; D; D
6:44:00; D; D
6:28:00; C; A
6:38:00; C; A
6:48:00; C; A
6:33:00; B; A
6:43:00; B; A
6:53:00; B; A
6:36:00; A; A
6:46:00; A; A
6:56:00; A; A
6:39:00; B; D
6:49:00; B; D
6:59:00; B; D
6:44:00; C; D
6:54:00; C; D
7:04:00; C; D
6:48:00; D; D
6:58:00; D; D
7:08:00; D; D
6:52:00; C; A
7:02:00; C; A
7:12:00; C; A
6:57:00; B; A
7:07:00; B; A
7:17:00; B; A
7:00:00; A; A
7:10:00; A; A
7:20:00; A; A
7:03:00; B; D
7:13:00; B; D
7:23:00; B; D
7:08:00; C; D
7:18:00; C; D
7:28:00; C; D
7:12:00; D; D
7:22:00; D; D
7:32:00; D; D
7:16:00; C; A
7:26:00; C; A
7:36:00; C; A
7:21:00; B; A
7:31:00; B; A
7:41:00; B; A
7:24:00; A; A
7:34:00; A; A
7:44:00; A; A
7:27:00; B; D
7:37:00; B; D
7:47:00; B; D
7:32:00; C; D
7:42:00; C; D
7:52:00; C; D
7:36:00; D; D
7:46:00; D; D
7:56:00; D; D
7:40:00; C; A
7:50:00; C; A
8:00:00; C; A
7:45:00; B; A
7:55:00; B; A
8:05:00; B; A
7:48:00; A; A
7:58:00; A; A
8:08:00; A; A
7:51:00; B; D
8:01:00; B; D
8:11:00; B; D
7:56:00; C; D
8:06:00; C; D
8:16:00; C; D
8:00:00; D; D
8:10:00; D; D
8:20:00; D; D
8:04:00; C; A
8:14:00; C; A
8:24:00; C; A
8:09:00; B; A
8:19:00; B; A
8:29:00; B; A
8:12:00; A; A
8:22:00; A; A
8:32:00; A; A
8:15:00; B; D
8:25:00; B; D
8:35:00; B; D
8:20:00; C; D
8:30:00; C; D
8:40:00; C; D
8:24:00; D; D
8:34:00; D; D
8:44:00; D; D
8:28:00; C; A
8:38:00; C; A
8:48:00; C; A
8:33:00; B; A
8:43:00; B; A
8:53:00; B; A
8:36:00; A; A
8:46:00; A; A
8:56:00; A; A
8:39:00; B; D
8:49:00; B; D
8:59:00; B; D
8:44:00; C; D
8:54:00; C; D
9:04:00; C; D
8:48:00; D; D
8:58:00; D; D
9:08:00; D; D
8:52:00; C; A
9:02:00; C; A
9:12:00; C; A
