5:16:00; A; F
5:21:00; A; F
5:26:00; A; F
5:19:00; B; F
5:24:00; B; F
5:29:00; B; F
5:24:00; F; F
5:29:00; F; F
5:34:00; F; F
5:29:00; B; E
5:34:00; B; E
5:39:00; B; E
5:32:00; A; E
5:37:00; A; E
5:42:00; A; E
5:38:00; E; E
5:43:00; E; E
5:48:00; E; E
5:44:00; A; F
5:49:00; A; F
5:54:00; A; F
5:47:00; B; F
5:52:00; B; F
5:57:00; B; F
5:52:00; F; F
5:57:00; F; F
6:02:00; F; F
5:57:00; B; E
6:02:00; B; E
6:07:00; B; E
6:00:00; A; E
6:05:00; A; E
6:10:00; A; E
6:06:00; E; E
6:11:00; E; E
6:16:00; E; E
6:12:00; A; F
6:17:00; A; F
6:22:00; A; F
6:15:00; B; F
6:20:00; B; F
6:25:00; B; F
6:20:00; F; F
6:25:00; F; F
6:30:00; F; F
6:25:00; B; E
6:30:00; B; E
6:35:00; B; E
6:28:00; A; E
6:33:00; A; E
6:38:00; A; E
6:34:00; E; E
6:39:00; E; E
6:44:00; E; E
6:40:00; A; F
6:45:00; A; F
6:50:00; A; F
6:43:00; B; F
6:48:00; B; F
6:53:00; B; F
6:48:00; F; F
6:53:00; F; F
6:58:00; F; F
6:53:00; B; E
6:58:00; B; E
7:03:00; B; E
6:56:00; A; E
7:01:00; A; E
7:06:00; A; E
7:02:00; E; E
7:07:00; E; E
7:12:00; E; E
7:08:00; A; F
7:13:00; A; F
7:18:00; A; F
7:11:00; B; F
7:16:00; B; F
7:21:00; B; F
7:16:00; F; F
7:21:00; F; F
7:26:00; F; F
7:21:00; B; E
7:26:00; B; E
7:31:00; B; E
7:24:00; A; E
7:29:00; A; E
7:34:00; A; E
7:30:00; E; E
7:35:00; E; E
7:40:00; E; E
7:36:00; A; F
7:41:00; A; F
7:46:00; A; F
7:39:00; B; F
7:44:00; B; F
7:49:00; B; F
7:44:00; F; F
7:49:00; F; F
7:54:00; F; F
7:49:00; B; E
7:54:00; B; E
7:59:00; B; E
7:52:00; A; E
7:57:00; A; E
8:02:00; A; E
7:58:00; E; E
8:03:00; E; E
8:08:00; E; E
8:04:00; A; F
8:09:00; A; F
8:14:00; A; F
8:07:00; B; F
8:12:00; B; F
8:17:00; B; F
8:12:00; F; F
8:17:00; F; F
8:22:00; F; F
8:17:00; B; E
8:22:00; B; E
8:27:00; B; E
8:20:00; A; E
8:25:00; A; E
8:30:00; A; E
8:26:00; E; E
8:31:00; E; E
8:36:00; E; E
8:32:00; A; F
8:37:00; A; F
8:42:00; A; F
8:35:00; B; F
8:40:00; B; F
8:45:00; B; F
8:40:00; F; F
8:45:00; F; F
8:50:00; F; F
8:45:00; B; E
8:50:00; B; E
8:55:00; B; E
8:48:00; A; E
8:53:00; A; E
8:58:00; A; E
8:54:00; E; E
8:59:00; E; E
9:04:00; E; E
9:00:00; A; F
9:05:00; A; F
9:10:00; A; F
9:03:00; B; F
9:08:00; B; F
9:13:00; B; F
9:08:00; F; F
9:13:00; F; F
9:18:00; F; F
9:13:00; B; E
9:18:00; B; E
9:23:00; B; E
9:16:00; A; E
9:21:00; A; E
9:26:00; A; E
9:22:00; E; E
9:27:00; E; E
9:32:00; E; E
9:28:00; A; F
9:33:00; A; F
9:38:00; A; F
9:31:00; B; F
9:36:00; B; F
9:41:00; B; F
9:36:00; F; F
9:41:00; F; F
9:46:00; F; F
9:41:00; B; E
9:46:00; B; E
9:51:00; B; E
9:44:00; A; E
9:49:00; A; E
9:54:00; A; E
9:50:00; E; E
9:55:00; E; E
10:00:00; E; E
9:56:00; A; F
10:01:00; A; F
10:06:00; A; F
9:59:00; B; F
10:04:00; B; F
10:09:00; B; F
10:04:00; F; F
10:09:00; F; F
10:14:00; F; F
10:09:00; B; E
10:14:00; B; E
10:19:00; B; E
10:12:00; A; E
10:17:00; A; E
10:22:00; A; E
10:18:00; E; E
10:23:00; E; E
10:28:00; E; E
10:24:00; A; F
10:29:00; A; F
10:34:00; A; F
10:27:00; B; F
10:32:00; B; F
10:37:00; B; F
